User_ID,User_Text,Sentiment_Label,Recommended_Song_ID,Song_Name,Artist,Genre,Tempo (BPM),Mood,Energy,Danceability,rating
U1,Way ball purpose public experience recently realize too.,Sad,S1,Someone Like You,Adele,Pop,67,Melancholic,Low,Low,5
U2,Save officer two myself a.,Happy,S2,Happy,Pharrell Williams,Pop,160,Joyful,High,High,1
U3,Decade ahead everyone environment themselves action health.,Relaxed,S3,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low,4
U4,Best change letter citizen try ask quality process.,Happy,S4,Happy,Pharrell Williams,Pop,160,Joyful,High,High,4
U5,Worker player chance kind actually.,Happy,S5,Happy,Pharrell Williams,Pop,160,Joyful,High,High,4
U6,Produce prove hot personal ago.,Motivated,S6,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium,2
U7,Culture soldier night never song dream.,Sad,S7,Someone Like You,Adele,Pop,67,Melancholic,Low,Low,4
U8,Expect order very.,Sad,S8,Someone Like You,Adele,Pop,67,Melancholic,Low,Low,3
U9,Clearly though film address stock Mr specific.,Motivated,S9,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium,5
U10,Market school sense expert blue mention nor risk.,Sad,S10,Fix You,Coldplay,Rock,75,Emotional,Low,Medium,1
U11,Until drive realize.,Motivated,S11,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High,1
U12,Staff life identify.,Happy,S12,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High,5
U13,Present strong people add believe message sign.,Happy,S13,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High,3
U14,Left quality wish may lose forward right.,Sad,S14,Fix You,Coldplay,Rock,75,Emotional,Low,Medium,2
U15,Customer share score Republican marriage guy.,Relaxed,S15,Weightless,Marconi Union,Ambient,50,Calm,Low,Low,1
U16,Even hotel notice of condition.,Happy,S16,Happy,Pharrell Williams,Pop,160,Joyful,High,High,2
U17,Receive these like television.,Relaxed,S17,Weightless,Marconi Union,Ambient,50,Calm,Low,Low,2
U18,Policy school address or.,Sad,S18,Someone Like You,Adele,Pop,67,Melancholic,Low,Low,1
U19,Particular draw easy most across drive machine.,Relaxed,S19,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low,2
U20,Owner blood them.,Happy,S20,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High,5
U21,Safe education culture seven budget.,Happy,S21,Happy,Pharrell Williams,Pop,160,Joyful,High,High,4
U22,Water budget debate do bring gas magazine.,Relaxed,S22,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low,1
U23,When east business place strong him.,Motivated,S23,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High,4
U24,Edge spring stand story life.,Sad,S24,Someone Like You,Adele,Pop,67,Melancholic,Low,Low,1
U25,Article control world admit.,Relaxed,S25,Weightless,Marconi Union,Ambient,50,Calm,Low,Low,3
U26,With score personal.,Motivated,S26,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High,4
U27,Natural for growth performance.,Sad,S27,Fix You,Coldplay,Rock,75,Emotional,Low,Medium,1
U28,Wear food painting and.,Motivated,S28,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium,2
U29,South traditional certainly upon team.,Motivated,S29,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium,4
U30,Down see owner impact artist still.,Motivated,S30,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High,4
U31,Enough fight lay arm.,Relaxed,S31,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low,4
U32,Condition language standard happy daughter cost west between.,Motivated,S32,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium,1
U33,As get together toward level yes member away.,Relaxed,S33,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low,2
U34,Put development threat house news direction our.,Motivated,S34,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium,2
U35,Its peace yet.,Happy,S35,Happy,Pharrell Williams,Pop,160,Joyful,High,High,2
U36,Once rather soldier family just.,Relaxed,S36,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low,1
U37,Enough police tree reflect peace.,Sad,S37,Fix You,Coldplay,Rock,75,Emotional,Low,Medium,3
U38,Him somebody statement project.,Relaxed,S38,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low,5
U39,Impact court its author.,Motivated,S39,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium,4
U40,Use coach hand western.,Relaxed,S40,Weightless,Marconi Union,Ambient,50,Calm,Low,Low,4
U41,Tonight government smile surface base party fire.,Sad,S41,Fix You,Coldplay,Rock,75,Emotional,Low,Medium,3
U42,Mother choose light particular ability ahead yourself.,Happy,S42,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High,5
U43,Total manager who leg hotel if language Mrs.,Sad,S43,Someone Like You,Adele,Pop,67,Melancholic,Low,Low,3
